inct_folder,nome_inct,area_de_maior_formacao,count,area
0,AS_METRÓPOLES_E,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Arquitetura e Urbanismo,6,"Ciências Humanas, Sociais Aplicadas e Educação"
1,AS_METRÓPOLES_E,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Economia,1,"Ciências Humanas, Sociais Aplicadas e Educação"
2,AS_METRÓPOLES_E,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Planejamento Urbano e Regional,2,"Ciências Humanas, Sociais Aplicadas e Educação"
3,AS_METRÓPOLES_E,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Sociologia,1,"Ciências Humanas, Sociais Aplicadas e Educação"
4,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Engenharia Civil,1,Ciências Exatas e da Terra
5,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Engenharia Elétrica,4,Ciências Exatas e da Terra
6,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Engenharia Mecânica,4,Ciências Exatas e da Terra
7,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Engenharia Química,2,Ciências Exatas e da Terra
8,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Engenharia de Materiais e Metalúrgica,5,Ciências Exatas e da Terra
9,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Farmacologia,9,Ciências Exatas e da Terra
10,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Farmácia,3,Ciências Exatas e da Terra
11,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Física,1,Ciências Exatas e da Terra
12,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Genética,5,Ciências Exatas e da Terra
13,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",GeoCiências,15,Ciências Exatas e da Terra
14,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Medicina,3,Ciências Exatas e da Terra
