nome_inct,tipo_producao,n_tipos_producao
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Artigo Aceito Para Publicacao,6
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Artigo Publicado,168
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Capitulo De Livro Publicado,336
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Livro Publicado Ou Organizado,79
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Outra Producao Bibliografica,24
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Prefacio Posfacio,29
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Texto Em Jornal Ou Revista,79
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Trabalho Em Eventos,233
"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020",Traducao,1
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Aceito Para Publicacao,22
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Artigo Publicado,4835
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Capitulo De Livro Publicado,500
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Livro Publicado Ou Organizado,93
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Outra Producao Bibliografica,23
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Prefacio Posfacio,3
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Texto Em Jornal Ou Revista,62
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Trabalho Em Eventos,4499
"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Traducao,15
INCT Analíticas Avançadas (INCT-AA),Artigo Aceito Para Publicacao,17
INCT Analíticas Avançadas (INCT-AA),Artigo Publicado,3713
INCT Analíticas Avançadas (INCT-AA),Capitulo De Livro Publicado,247
INCT Analíticas Avançadas (INCT-AA),Livro Publicado Ou Organizado,51
INCT Analíticas Avançadas (INCT-AA),Outra Producao Bibliografica,84
INCT Analíticas Avançadas (INCT-AA),Prefacio Posfacio,5
INCT Analíticas Avançadas (INCT-AA),Texto Em Jornal Ou Revista,65
INCT Analíticas Avançadas (INCT-AA),Trabalho Em Eventos,4438
INCT Analíticas Avançadas (INCT-AA),Traducao,3
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Aceito Para Publicacao,47
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Artigo Publicado,4857
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Capitulo De Livro Publicado,433
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Livro Publicado Ou Organizado,66
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Outra Producao Bibliografica,136
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Texto Em Jornal Ou Revista,51
INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Trabalho Em Eventos,3823
INCT Biologia Sintetica,Artigo Aceito Para Publicacao,24
INCT Biologia Sintetica,Artigo Publicado,3788
INCT Biologia Sintetica,Capitulo De Livro Publicado,322
INCT Biologia Sintetica,Livro Publicado Ou Organizado,29
INCT Biologia Sintetica,Outra Producao Bibliografica,134
INCT Biologia Sintetica,Prefacio Posfacio,2
INCT Biologia Sintetica,Texto Em Jornal Ou Revista,57
INCT Biologia Sintetica,Trabalho Em Eventos,2348
INCT Brasil Plural,Artigo Aceito Para Publicacao,36
INCT Brasil Plural,Artigo Publicado,1532
INCT Brasil Plural,Capitulo De Livro Publicado,1109
INCT Brasil Plural,Livro Publicado Ou Organizado,364
INCT Brasil Plural,Outra Producao Bibliografica,163
INCT Brasil Plural,Prefacio Posfacio,181
INCT Brasil Plural,Texto Em Jornal Ou Revista,280
INCT Brasil Plural,Trabalho Em Eventos,892
INCT Brasil Plural,Traducao,43
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Aceito Para Publicacao,5
INCT Centro de Química Medicinal de Acesso Aberto,Artigo Publicado,399
INCT Centro de Química Medicinal de Acesso Aberto,Capitulo De Livro Publicado,58
INCT Centro de Química Medicinal de Acesso Aberto,Livro Publicado Ou Organizado,5
INCT Centro de Química Medicinal de Acesso Aberto,Outra Producao Bibliografica,4
INCT Centro de Química Medicinal de Acesso Aberto,Texto Em Jornal Ou Revista,12
INCT Centro de Química Medicinal de Acesso Aberto,Trabalho Em Eventos,234
INCT Ciências Forenses,Artigo Aceito Para Publicacao,27
INCT Ciências Forenses,Artigo Publicado,2911
INCT Ciências Forenses,Capitulo De Livro Publicado,431
INCT Ciências Forenses,Livro Publicado Ou Organizado,122
INCT Ciências Forenses,Outra Producao Bibliografica,22
INCT Ciências Forenses,Prefacio Posfacio,96
INCT Ciências Forenses,Texto Em Jornal Ou Revista,56
INCT Ciências Forenses,Trabalho Em Eventos,2621
INCT Ciências Forenses,Traducao,13
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Aceito Para Publicacao,62
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Artigo Publicado,11138
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Capitulo De Livro Publicado,908
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Livro Publicado Ou Organizado,248
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Outra Producao Bibliografica,275
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Prefacio Posfacio,14
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Texto Em Jornal Ou Revista,417
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Trabalho Em Eventos,4329
"INCT Ecologia, Evolução e Conservação da Biodiversidade",Traducao,8
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Aceito Para Publicacao,16
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Artigo Publicado,2797
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Capitulo De Livro Publicado,230
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Livro Publicado Ou Organizado,48
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Outra Producao Bibliografica,28
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Prefacio Posfacio,11
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Texto Em Jornal Ou Revista,271
INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Trabalho Em Eventos,1116
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Artigo Aceito Para Publicacao,20
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Artigo Publicado,2424
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Capitulo De Livro Publicado,325
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Livro Publicado Ou Organizado,93
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Outra Producao Bibliografica,31
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Prefacio Posfacio,2
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Texto Em Jornal Ou Revista,60
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Trabalho Em Eventos,3168
INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),Traducao,2
INCT Física Nuclear e Aplicações,Artigo Aceito Para Publicacao,54
INCT Física Nuclear e Aplicações,Artigo Publicado,8885
INCT Física Nuclear e Aplicações,Capitulo De Livro Publicado,214
INCT Física Nuclear e Aplicações,Livro Publicado Ou Organizado,80
INCT Física Nuclear e Aplicações,Outra Producao Bibliografica,133
INCT Física Nuclear e Aplicações,Prefacio Posfacio,6
INCT Física Nuclear e Aplicações,Texto Em Jornal Ou Revista,170
INCT Física Nuclear e Aplicações,Trabalho Em Eventos,4376
INCT Física Nuclear e Aplicações,Traducao,3
INCT História Social das Propriedades e direito de acesso,Artigo Aceito Para Publicacao,24
INCT História Social das Propriedades e direito de acesso,Artigo Publicado,1063
INCT História Social das Propriedades e direito de acesso,Capitulo De Livro Publicado,1473
INCT História Social das Propriedades e direito de acesso,Livro Publicado Ou Organizado,564
INCT História Social das Propriedades e direito de acesso,Outra Producao Bibliografica,371
INCT História Social das Propriedades e direito de acesso,Prefacio Posfacio,258
INCT História Social das Propriedades e direito de acesso,Texto Em Jornal Ou Revista,246
INCT História Social das Propriedades e direito de acesso,Trabalho Em Eventos,1242
INCT História Social das Propriedades e direito de acesso,Traducao,12
INCT Inclusão no Ensino Superior e na Pesquisa,Artigo Aceito Para Publicacao,13
INCT Inclusão no Ensino Superior e na Pesquisa,Artigo Publicado,503
INCT Inclusão no Ensino Superior e na Pesquisa,Capitulo De Livro Publicado,431
INCT Inclusão no Ensino Superior e na Pesquisa,Livro Publicado Ou Organizado,164
INCT Inclusão no Ensino Superior e na Pesquisa,Outra Producao Bibliografica,67
INCT Inclusão no Ensino Superior e na Pesquisa,Prefacio Posfacio,108
INCT Inclusão no Ensino Superior e na Pesquisa,Texto Em Jornal Ou Revista,82
INCT Inclusão no Ensino Superior e na Pesquisa,Trabalho Em Eventos,220
INCT Inclusão no Ensino Superior e na Pesquisa,Traducao,5
INCT Informação Quântica,Artigo Aceito Para Publicacao,21
INCT Informação Quântica,Artigo Publicado,4935
INCT Informação Quântica,Capitulo De Livro Publicado,89
INCT Informação Quântica,Livro Publicado Ou Organizado,52
INCT Informação Quântica,Outra Producao Bibliografica,121
INCT Informação Quântica,Prefacio Posfacio,4
INCT Informação Quântica,Texto Em Jornal Ou Revista,50
INCT Informação Quântica,Trabalho Em Eventos,1063
INCT Informação Quântica,Traducao,3
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Artigo Aceito Para Publicacao,19
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Artigo Publicado,2251
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Capitulo De Livro Publicado,110
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Livro Publicado Ou Organizado,12
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Outra Producao Bibliografica,16
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Prefacio Posfacio,1
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Texto Em Jornal Ou Revista,24
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Trabalho Em Eventos,1331
INCT Inovação em Medicamentos e Identificação de Novos Alvos Terapêuticos (INCT-INOVAMED),Traducao,1
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Artigo Aceito Para Publicacao,36
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Artigo Publicado,1768
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Capitulo De Livro Publicado,475
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Livro Publicado Ou Organizado,101
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Outra Producao Bibliografica,143
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Prefacio Posfacio,10
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Texto Em Jornal Ou Revista,68
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Trabalho Em Eventos,2380
INCT Instituto Geotécnico de Reabilitação do Sistema Encosta-Planície e Desastres Naturais,Traducao,8
INCT Instituto da Democracia e da Democratização da Comunicação,Artigo Aceito Para Publicacao,11
INCT Instituto da Democracia e da Democratização da Comunicação,Artigo Publicado,1009
INCT Instituto da Democracia e da Democratização da Comunicação,Capitulo De Livro Publicado,922
INCT Instituto da Democracia e da Democratização da Comunicação,Livro Publicado Ou Organizado,307
INCT Instituto da Democracia e da Democratização da Comunicação,Outra Producao Bibliografica,367
INCT Instituto da Democracia e da Democratização da Comunicação,Prefacio Posfacio,86
INCT Instituto da Democracia e da Democratização da Comunicação,Texto Em Jornal Ou Revista,936
INCT Instituto da Democracia e da Democratização da Comunicação,Trabalho Em Eventos,644
INCT Instituto da Democracia e da Democratização da Comunicação,Traducao,8
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Artigo Aceito Para Publicacao,16
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Artigo Publicado,2796
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Capitulo De Livro Publicado,380
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Livro Publicado Ou Organizado,97
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Outra Producao Bibliografica,152
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Prefacio Posfacio,7
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Texto Em Jornal Ou Revista,107
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Trabalho Em Eventos,3058
INCT Mar COI - Oceanografia Integrada e Usos Múltiplos da Plataforma Continental e Oceano Adjacente - Centro de Oceanografia Integrada,Traducao,24
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Artigo Aceito Para Publicacao,67
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Artigo Publicado,5158
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Capitulo De Livro Publicado,651
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Livro Publicado Ou Organizado,100
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Outra Producao Bibliografica,685
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Prefacio Posfacio,1
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Texto Em Jornal Ou Revista,268
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Trabalho Em Eventos,6457
INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Traducao,1
INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Artigo Aceito Para Publicacao,18
INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Artigo Publicado,4556
INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Capitulo De Livro Publicado,278
INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Livro Publicado Ou Organizado,29
INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Outra Producao Bibliografica,14
INCT Nanotecnologia Farmacêutica: uma abordagem transdisciplinar (INCT-NANOFARMA),Prefacio Posfacio,2
