area,tipo_producao,periodo,n_tipos_producao
Ciências Agrárias e Agronegócios,Artigo Aceito Para Publicacao,2010-2015,50
Ciências Agrárias e Agronegócios,Artigo Aceito Para Publicacao,2015-2020,105
Ciências Agrárias e Agronegócios,Artigo Aceito Para Publicacao,2020-2025,100
Ciências Agrárias e Agronegócios,Artigo Publicado,2010-2015,12861
Ciências Agrárias e Agronegócios,Artigo Publicado,2015-2020,12352
Ciências Agrárias e Agronegócios,Artigo Publicado,2020-2025,8136
Ciências Agrárias e Agronegócios,Capitulo De Livro Publicado,2010-2015,1515
Ciências Agrárias e Agronegócios,Capitulo De Livro Publicado,2015-2020,1266
Ciências Agrárias e Agronegócios,Capitulo De Livro Publicado,2020-2025,925
Ciências Agrárias e Agronegócios,Livro Publicado Ou Organizado,2010-2015,326
Ciências Agrárias e Agronegócios,Livro Publicado Ou Organizado,2015-2020,232
Ciências Agrárias e Agronegócios,Livro Publicado Ou Organizado,2020-2025,193
Ciências Agrárias e Agronegócios,Outra Producao Bibliografica,2010-2015,887
Ciências Agrárias e Agronegócios,Outra Producao Bibliografica,2015-2020,604
Ciências Agrárias e Agronegócios,Outra Producao Bibliografica,2020-2025,333
Ciências Agrárias e Agronegócios,Prefacio Posfacio,2010-2015,9
Ciências Agrárias e Agronegócios,Prefacio Posfacio,2015-2020,4
Ciências Agrárias e Agronegócios,Prefacio Posfacio,2020-2025,4
Ciências Agrárias e Agronegócios,Texto Em Jornal Ou Revista,2010-2015,954
Ciências Agrárias e Agronegócios,Texto Em Jornal Ou Revista,2015-2020,444
Ciências Agrárias e Agronegócios,Texto Em Jornal Ou Revista,2020-2025,286
Ciências Agrárias e Agronegócios,Trabalho Em Eventos,2010-2015,22867
Ciências Agrárias e Agronegócios,Trabalho Em Eventos,2015-2020,9931
Ciências Agrárias e Agronegócios,Trabalho Em Eventos,2020-2025,3700
Ciências Agrárias e Agronegócios,Traducao,2010-2015,4
Ciências Agrárias e Agronegócios,Traducao,2020-2025,2
Ciências Biológicas,Artigo Aceito Para Publicacao,2010-2015,150
Ciências Biológicas,Artigo Aceito Para Publicacao,2015-2020,171
Ciências Biológicas,Artigo Aceito Para Publicacao,2020-2025,584
Ciências Biológicas,Artigo Aceito Para Publicacao,Fora dos períodos,2
Ciências Biológicas,Artigo Publicado,2010-2015,43201
Ciências Biológicas,Artigo Publicado,2015-2020,42424
Ciências Biológicas,Artigo Publicado,2020-2025,34265
Ciências Biológicas,Capitulo De Livro Publicado,2010-2015,4722
Ciências Biológicas,Capitulo De Livro Publicado,2015-2020,3674
Ciências Biológicas,Capitulo De Livro Publicado,2020-2025,3130
Ciências Biológicas,Livro Publicado Ou Organizado,2010-2015,797
Ciências Biológicas,Livro Publicado Ou Organizado,2015-2020,718
Ciências Biológicas,Livro Publicado Ou Organizado,2020-2025,775
Ciências Biológicas,Outra Producao Bibliografica,2010-2015,1069
Ciências Biológicas,Outra Producao Bibliografica,2015-2020,1070
Ciências Biológicas,Outra Producao Bibliografica,2020-2025,544
Ciências Biológicas,Partitura Musical,2020-2025,3
Ciências Biológicas,Prefacio Posfacio,2010-2015,108
Ciências Biológicas,Prefacio Posfacio,2015-2020,87
Ciências Biológicas,Prefacio Posfacio,2020-2025,54
Ciências Biológicas,Texto Em Jornal Ou Revista,2010-2015,1972
Ciências Biológicas,Texto Em Jornal Ou Revista,2015-2020,1232
Ciências Biológicas,Texto Em Jornal Ou Revista,2020-2025,615
Ciências Biológicas,Trabalho Em Eventos,2010-2015,46474
Ciências Biológicas,Trabalho Em Eventos,2015-2020,21905
Ciências Biológicas,Trabalho Em Eventos,2020-2025,10121
Ciências Biológicas,Traducao,2010-2015,105
Ciências Biológicas,Traducao,2015-2020,46
Ciências Biológicas,Traducao,2020-2025,20
Ciências Exatas e da Terra,Artigo Aceito Para Publicacao,2010-2015,154
Ciências Exatas e da Terra,Artigo Aceito Para Publicacao,2015-2020,192
Ciências Exatas e da Terra,Artigo Aceito Para Publicacao,2020-2025,697
Ciências Exatas e da Terra,Artigo Aceito Para Publicacao,Fora dos períodos,4
Ciências Exatas e da Terra,Artigo Publicado,2010-2015,46145
Ciências Exatas e da Terra,Artigo Publicado,2015-2020,47525
Ciências Exatas e da Terra,Artigo Publicado,2020-2025,37423
Ciências Exatas e da Terra,Capitulo De Livro Publicado,2010-2015,3672
Ciências Exatas e da Terra,Capitulo De Livro Publicado,2015-2020,3710
Ciências Exatas e da Terra,Capitulo De Livro Publicado,2020-2025,2721
Ciências Exatas e da Terra,Livro Publicado Ou Organizado,2010-2015,1096
Ciências Exatas e da Terra,Livro Publicado Ou Organizado,2015-2020,889
Ciências Exatas e da Terra,Livro Publicado Ou Organizado,2020-2025,715
Ciências Exatas e da Terra,Outra Producao Bibliografica,2010-2015,1386
Ciências Exatas e da Terra,Outra Producao Bibliografica,2015-2020,808
Ciências Exatas e da Terra,Outra Producao Bibliografica,2020-2025,884
Ciências Exatas e da Terra,Prefacio Posfacio,2010-2015,116
Ciências Exatas e da Terra,Prefacio Posfacio,2015-2020,104
Ciências Exatas e da Terra,Prefacio Posfacio,2020-2025,62
Ciências Exatas e da Terra,Texto Em Jornal Ou Revista,2010-2015,1692
Ciências Exatas e da Terra,Texto Em Jornal Ou Revista,2015-2020,1369
Ciências Exatas e da Terra,Texto Em Jornal Ou Revista,2020-2025,966
Ciências Exatas e da Terra,Trabalho Em Eventos,2010-2015,53705
Ciências Exatas e da Terra,Trabalho Em Eventos,2015-2020,28540
Ciências Exatas e da Terra,Trabalho Em Eventos,2020-2025,13682
Ciências Exatas e da Terra,Traducao,2010-2015,124
Ciências Exatas e da Terra,Traducao,2015-2020,53
Ciências Exatas e da Terra,Traducao,2020-2025,7
"Ciências Humanas, Sociais Aplicadas e Educação",Artigo Aceito Para Publicacao,2010-2015,51
"Ciências Humanas, Sociais Aplicadas e Educação",Artigo Aceito Para Publicacao,2015-2020,73
"Ciências Humanas, Sociais Aplicadas e Educação",Artigo Aceito Para Publicacao,2020-2025,278
"Ciências Humanas, Sociais Aplicadas e Educação",Artigo Publicado,2010-2015,7230
"Ciências Humanas, Sociais Aplicadas e Educação",Artigo Publicado,2015-2020,7788
"Ciências Humanas, Sociais Aplicadas e Educação",Artigo Publicado,2020-2025,6423
"Ciências Humanas, Sociais Aplicadas e Educação",Capitulo De Livro Publicado,2010-2015,4618
"Ciências Humanas, Sociais Aplicadas e Educação",Capitulo De Livro Publicado,2015-2020,4790
"Ciências Humanas, Sociais Aplicadas e Educação",Capitulo De Livro Publicado,2020-2025,4173
"Ciências Humanas, Sociais Aplicadas e Educação",Livro Publicado Ou Organizado,2010-2015,1404
"Ciências Humanas, Sociais Aplicadas e Educação",Livro Publicado Ou Organizado,2015-2020,1354
"Ciências Humanas, Sociais Aplicadas e Educação",Livro Publicado Ou Organizado,2020-2025,1245
"Ciências Humanas, Sociais Aplicadas e Educação",Outra Producao Bibliografica,2010-2015,1181
"Ciências Humanas, Sociais Aplicadas e Educação",Outra Producao Bibliografica,2015-2020,1129
"Ciências Humanas, Sociais Aplicadas e Educação",Outra Producao Bibliografica,2020-2025,676
"Ciências Humanas, Sociais Aplicadas e Educação",Partitura Musical,2015-2020,1
"Ciências Humanas, Sociais Aplicadas e Educação",Prefacio Posfacio,2010-2015,525
"Ciências Humanas, Sociais Aplicadas e Educação",Prefacio Posfacio,2015-2020,564
"Ciências Humanas, Sociais Aplicadas e Educação",Prefacio Posfacio,2020-2025,412
"Ciências Humanas, Sociais Aplicadas e Educação",Texto Em Jornal Ou Revista,2010-2015,2107
"Ciências Humanas, Sociais Aplicadas e Educação",Texto Em Jornal Ou Revista,2015-2020,2351
"Ciências Humanas, Sociais Aplicadas e Educação",Texto Em Jornal Ou Revista,2020-2025,1918
"Ciências Humanas, Sociais Aplicadas e Educação",Trabalho Em Eventos,2010-2015,9585
"Ciências Humanas, Sociais Aplicadas e Educação",Trabalho Em Eventos,2015-2020,5812
"Ciências Humanas, Sociais Aplicadas e Educação",Trabalho Em Eventos,2020-2025,2668
"Ciências Humanas, Sociais Aplicadas e Educação",Traducao,2010-2015,156
"Ciências Humanas, Sociais Aplicadas e Educação",Traducao,2015-2020,109
"Ciências Humanas, Sociais Aplicadas e Educação",Traducao,2020-2025,58
Ecologia e Meio Ambiente,Artigo Aceito Para Publicacao,2010-2015,23
Ecologia e Meio Ambiente,Artigo Aceito Para Publicacao,2015-2020,19
Ecologia e Meio Ambiente,Artigo Aceito Para Publicacao,2020-2025,92
Ecologia e Meio Ambiente,Artigo Publicado,2010-2015,4871
Ecologia e Meio Ambiente,Artigo Publicado,2015-2020,5724
Ecologia e Meio Ambiente,Artigo Publicado,2020-2025,4898
Ecologia e Meio Ambiente,Capitulo De Livro Publicado,2010-2015,610
Ecologia e Meio Ambiente,Capitulo De Livro Publicado,2015-2020,784
Ecologia e Meio Ambiente,Capitulo De Livro Publicado,2020-2025,563
Ecologia e Meio Ambiente,Livro Publicado Ou Organizado,2010-2015,127
Ecologia e Meio Ambiente,Livro Publicado Ou Organizado,2015-2020,122
Ecologia e Meio Ambiente,Livro Publicado Ou Organizado,2020-2025,126
Ecologia e Meio Ambiente,Outra Producao Bibliografica,2010-2015,364
Ecologia e Meio Ambiente,Outra Producao Bibliografica,2015-2020,163
Ecologia e Meio Ambiente,Outra Producao Bibliografica,2020-2025,221
Ecologia e Meio Ambiente,Prefacio Posfacio,2010-2015,36
Ecologia e Meio Ambiente,Prefacio Posfacio,2015-2020,38
Ecologia e Meio Ambiente,Prefacio Posfacio,2020-2025,41
Ecologia e Meio Ambiente,Texto Em Jornal Ou Revista,2010-2015,280
Ecologia e Meio Ambiente,Texto Em Jornal Ou Revista,2015-2020,180
Ecologia e Meio Ambiente,Texto Em Jornal Ou Revista,2020-2025,130
Ecologia e Meio Ambiente,Trabalho Em Eventos,2010-2015,6432
Ecologia e Meio Ambiente,Trabalho Em Eventos,2015-2020,3921
Ecologia e Meio Ambiente,Trabalho Em Eventos,2020-2025,2060
Ecologia e Meio Ambiente,Traducao,2010-2015,22
Ecologia e Meio Ambiente,Traducao,2015-2020,13
Ecologia e Meio Ambiente,Traducao,2020-2025,7
"Engenharias, Energias e Tecnologias da Informação",Artigo Aceito Para Publicacao,2010-2015,53
"Engenharias, Energias e Tecnologias da Informação",Artigo Aceito Para Publicacao,2015-2020,84
"Engenharias, Energias e Tecnologias da Informação",Artigo Aceito Para Publicacao,2020-2025,131
"Engenharias, Energias e Tecnologias da Informação",Artigo Publicado,2010-2015,8446
"Engenharias, Energias e Tecnologias da Informação",Artigo Publicado,2015-2020,9673
"Engenharias, Energias e Tecnologias da Informação",Artigo Publicado,2020-2025,8570
"Engenharias, Energias e Tecnologias da Informação",Capitulo De Livro Publicado,2010-2015,1157
"Engenharias, Energias e Tecnologias da Informação",Capitulo De Livro Publicado,2015-2020,1054
"Engenharias, Energias e Tecnologias da Informação",Capitulo De Livro Publicado,2020-2025,775
"Engenharias, Energias e Tecnologias da Informação",Livro Publicado Ou Organizado,2010-2015,327
"Engenharias, Energias e Tecnologias da Informação",Livro Publicado Ou Organizado,2015-2020,284
"Engenharias, Energias e Tecnologias da Informação",Livro Publicado Ou Organizado,2020-2025,205
"Engenharias, Energias e Tecnologias da Informação",Outra Producao Bibliografica,2010-2015,189
"Engenharias, Energias e Tecnologias da Informação",Outra Producao Bibliografica,2015-2020,105
"Engenharias, Energias e Tecnologias da Informação",Outra Producao Bibliografica,2020-2025,142
"Engenharias, Energias e Tecnologias da Informação",Prefacio Posfacio,2010-2015,13
"Engenharias, Energias e Tecnologias da Informação",Prefacio Posfacio,2015-2020,14
"Engenharias, Energias e Tecnologias da Informação",Prefacio Posfacio,2020-2025,5
"Engenharias, Energias e Tecnologias da Informação",Texto Em Jornal Ou Revista,2010-2015,366
"Engenharias, Energias e Tecnologias da Informação",Texto Em Jornal Ou Revista,2015-2020,246
"Engenharias, Energias e Tecnologias da Informação",Texto Em Jornal Ou Revista,2020-2025,178
"Engenharias, Energias e Tecnologias da Informação",Trabalho Em Eventos,2010-2015,17423
"Engenharias, Energias e Tecnologias da Informação",Trabalho Em Eventos,2015-2020,12546
"Engenharias, Energias e Tecnologias da Informação",Trabalho Em Eventos,2020-2025,6384
