inct_folder,formacao_mais_alta,qtd,nome_inct,area
0,AS_METRÓPOLES_E,Doutorado,5,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
1,AS_METRÓPOLES_E,Pós-Doutorado,5,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
2,Alternativas_para_Detecção,Doutorado,48,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
3,Alternativas_para_Detecção,Graduação,19,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
4,Alternativas_para_Detecção,Livre-Docência,22,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
5,Alternativas_para_Detecção,Mestrado,11,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
6,Alternativas_para_Detecção,Pós-Doutorado,61,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
7,Analíticas_Avançadas,Doutorado,34,INCT Analíticas Avançadas (INCT-AA),Ciências Exatas e da Terra
8,Analíticas_Avançadas,Especialização,1,INCT Analíticas Avançadas (INCT-AA),Ciências Exatas e da Terra
9,Analíticas_Avançadas,Graduação,1,INCT Analíticas Avançadas (INCT-AA),Ciências Exatas e da Terra
10,Analíticas_Avançadas,Livre-Docência,14,INCT Analíticas Avançadas (INCT-AA),Ciências Exatas e da Terra
11,Analíticas_Avançadas,Mestrado,4,INCT Analíticas Avançadas (INCT-AA),Ciências Exatas e da Terra
12,Analíticas_Avançadas,Pós-Doutorado,33,INCT Analíticas Avançadas (INCT-AA),Ciências Exatas e da Terra
13,Ativos_Biotecnológicos_Aplicad,Doutorado,67,INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Ciências Biológicas
14,Ativos_Biotecnológicos_Aplicad,Especialização,1,INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Ciências Biológicas
15,Ativos_Biotecnológicos_Aplicad,Graduação,7,INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Ciências Biológicas
16,Ativos_Biotecnológicos_Aplicad,Livre-Docência,1,INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Ciências Biológicas
