,inct_folder,nome_inct,area,coordenador
0,para_Doenças_Cerebrais,"INCT para Doenças Cerebrais, Excitoxicidade e Neuroproteção",Ciências Biológicas,Diogo Onofre Gomes de Souza
1,de_Matemática,INCT de Matemática,Ciências Exatas e da Terra,Jacob Palis Junior
2,da_Criosfera,INCT da Criosfera,Ecologia e Meio Ambiente,Jefferson Cardia Simões
3,em_Medicina_Regenerativa,INCT em Medicina Regenerativa,Saúde,Antonio Carlos Campos de Carvalho
4,de_Ciência_Animal,INCT de Ciência Animal,Ciências Agrárias e Agronegócios,Sebastiao de Campos Valadares Filho
5,Rede_Norte_Nordeste,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde,Marcelo Sobral da Silva
6,para_Mudanças_Climáticas,INCT para Mudanças Climáticas  (INCT-MC),Ciências Exatas e da Terra,Jose Antonio Marengo Orsini
7,Ecologia_Evolução_e,"INCT Ecologia, Evolução e Conservação da Biodiversidade",Ciências Biológicas,Jose Alexandre Felizola Diniz Filho
8,do_Café,INCT do Café,Ciências Agrárias e Agronegócios,Mário Lúcio Vilela de Resende
9,para_Avaliação_de,INCT para Avaliação de Tecnologias em Saúde,Saúde,Carísi Anne Polanczyk
10,em_Ambientes_Marinhos,INCT em Ambientes Marinhos Tropicais,Ciências Exatas e da Terra,José Maria Landim Dominguez
11,Virtual_da_Flora,INCT Virtual da Flora e dos Fungos,Ciências Biológicas,Leonor Costa Maia
12,de_Fotônica,INCT de Fotônica (INCT-INFO),Ciências Exatas e da Terra,Anderson Stevens Leonidas Gomes
13,de_Biologia_Estrutural,INCT de Biologia Estrutural e Bioimagem,Ciências Biológicas,Jerson Lima da Silva
14,em_Teranóstica_e,INCT em Teranóstica e Nanobiotecnologia (INCT-TeraNano),Saúde,Carlos Ueira-Vieira
15,em_Medicina_Assistida,INCT em Medicina Assistida por Computação Científica (INCT-MACC),"Engenharias, Energias e Tecnologias da Informação",Jose Eduardo Krieger
16,Física_Nuclear_e,INCT Física Nuclear e Aplicações,Ciências Exatas e da Terra,Takeshi Kodama
17,dos_Hymenoptera_Parasitóides,INCT dos Hymenoptera Parasitóides ,Ciências Biológicas,Angelica Maria Penteado Martins Dias
18,Microrganismos_Promotores_do,INCT Microrganismos Promotores do Crescimento de Plantas visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental,Ciências Agrárias e Agronegócios,Mariangela Hungria da Cunha
19,Translacional_em_Medicina,INCT Translacional em Medicina,Ciências Biológicas,Jaime Eduardo Cecilio Hallak
20,de_Estudos_Comparados,INCT de Estudos Comparados em Administração Institucional de Conflitos,"Ciências Humanas, Sociais Aplicadas e Educação",Roberto Kant de Lima
21,de_Genética_Médica,INCT de Genética Médica Populacional (INCT-INAGEMP),Ciências Biológicas,Roberto Giugliani
22,de_Entomologia_Molecular,INCT de Entomologia Molecular,Ciências Biológicas,Pedro Lagerblad de Oliveira
23,em_Biodiversidade_e,INCT em Biodiversidade e Produtos Naturais (INCT-BioNat),Ciências Exatas e da Terra,Vanderlan da Silva Bolzani
24,em_Estudos_Interdisciplinares,INCT em Estudos Interdisciplinares e Transdisciplinares em Ecologia e Evolução (INCT-TREE),Ciências Biológicas,Charbel Nino El Hani
25,de_Neurociência_Translacional,INCT de Neurociência Translacional,Saúde,Roberto Lent
26,de_Inovação_em,INCT de Inovação em Doenças de Populações Negligenciadas (INCT-IDPN),Saúde,Carlos Medicis Morel
27,em_Materiais_Complexos,INCT em Materiais Complexos Funcionais (INCT-Inomat),Ciências Exatas e da Terra,Fernando Galembeck
28,Alternativas_para_Detecção,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra,Maria Valnice Boldrin Zanoni
29,de_Psiquiatria_do,INCT de Psiquiatria do Desenvolvimento para Crianças e Adolescentes,Saúde,Euripedes Constantino Miguel Filho
30,de_Oncogenômica_e,INCT de Oncogenômica e Inovação Terapêutica,Saúde,Dirce Maria Carraro
31,para_a_Cadeia,INCT para a Cadeia Produtiva do Leite,Ciências Agrárias e Agronegócios,Amauri Alcindo Alfieri
32,em_Células_Tronco,INCT em Células-Tronco e Terapia Celular no Câncer,Saúde,Dimas Tadeu Covas
33,de_Nanomateriais_de,INCT de Nanomateriais de Carbono,Ciências Exatas e da Terra,Marcos Assunção Pimenta
34,Ativos_Biotecnológicos_Aplicad,INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Ciências Biológicas,Maria Fatima Grossi de Sa
35,em_Eletrônica_Orgânica,INCT em Eletrônica Orgânica (INCT-INEO),Ciências Exatas e da Terra,Roberto Mendonca Faria
36,de_Energia_Elétrica,INCT de Energia Elétrica (INCT-INERGE),"Engenharias, Energias e Tecnologias da Informação",Moisés Vidal Ribeiro
37,de_Bioinspiração_Moléculas,INCT de Bioinspiração - Moléculas bioinspiradas aplicadas ao incremento e qualidade da produção de proteína animal (INCT-Bioinspir) ,Ciências Biológicas,Octavio Luiz Franco
38,Observatório_Nacional_da,INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),"Engenharias, Energias e Tecnologias da Informação",Antonio Celso Dantas Antonino
39,de_Hormônios_e,INCT de Hormônios e Saúde da Mulher,Saúde,Poli Mara Spritzer
40,Analíticas_Avançadas,INCT Analíticas Avançadas (INCT-AA),Ciências Exatas e da Terra,Celio Pasquini
41,em_Dengue_e,INCT em Dengue e Interação Microorganismo-hospedeiro,Ciências Biológicas,Mauro Martins Teixeira
42,de_Energia_e,INCT de Energia e Ambiente,Ciências Exatas e da Terra,Jailson Bittencourt de Andrade
43,Observatório_das_Dinâmicas,INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),"Ciências Humanas, Sociais Aplicadas e Educação",Marcel Bursztyn
44,em_Geração_Distribuída,INCT em Geração Distribuída de Energia Elétrica,"Engenharias, Energias e Tecnologias da Informação",Cassiano Rech
45,de_Fármacos_e,INCT de Fármacos e Medicamentos,Ciências Exatas e da Terra,Lidia Moreira Lima
46,Neuroimmunomodulação,INCT Neuroimmunomodulação,Ciências Biológicas,Wilson Savino
47,Tecnologias_Ambientais_Para,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra,Rochel Montero Lago
48,de_Bioanalítica,INCT de Bioanalítica,Ciências Exatas e da Terra,Marco Aurélio Zezzi Arruda
49,de_Óptica_Básica,INCT de Óptica Básica e Aplicada às Ciências da Vida,Ciências Exatas e da Terra,Vanderlei Salvador Bagnato
