nome_inct,coordenador,Identificador,path_gexf,texto,inct_folder,n_pesquisadores,n_feminino,n_masculino,Na,area,identificador_area,path_area_gexf,path_area_gexf_html,path_gexf_html
0,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Maria Valnice Boldrin Zanoni,1,gexf_fixed/INCT_1_T2_fixed.gexf,"O INCT INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Alternativas_para_Detecção,162,85,76,1,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_1_T2_fixed.html
1,INCT Analíticas Avançadas (INCT-AA),Celio Pasquini,2,gexf_fixed/INCT_2_T2_fixed.gexf,"O INCT INCT Analíticas Avançadas (INCT-AA) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Analíticas_Avançadas,88,40,46,2,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_2_T2_fixed.html
2,INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio,Maria Fatima Grossi de Sa,3,gexf_fixed/INCT_3_T2_fixed.gexf,"O INCT INCT Ativos Biotecnológicos Aplicados à Seca e Pragas de Culturas Relevantes ao Agronegócio Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Ativos_Biotecnológicos_Aplicad,206,115,86,5,Ciências Biológicas,BIOLOGICAS,gexf_fixed/INCT_BIOLOGICAS_T2_fixed.gexf,gexf_html/cached_INCT_BIOLOGICAS_T2_fixed.html,gexf_html/cached_INCT_3_T2_fixed.html
3,INCT Biologia Sintetica,Elibio Leopoldo Rech Filho,4,gexf_fixed/INCT_4_T2_fixed.gexf,"O INCT INCT Biologia Sintetica Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Biologia_Sintetica,153,82,68,3,Ciências Biológicas,BIOLOGICAS,gexf_fixed/INCT_BIOLOGICAS_T2_fixed.gexf,gexf_html/cached_INCT_BIOLOGICAS_T2_fixed.html,gexf_html/cached_INCT_4_T2_fixed.html
4,INCT Brasil Plural,Esther Jean Langdon,5,gexf_fixed/INCT_5_T2_fixed.gexf,"O INCT INCT Brasil Plural Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Brasil_Plural,88,51,37,0,"Ciências Humanas, Sociais Aplicadas e Educação",HUMANAS,gexf_fixed/INCT_HUMANAS_T2_fixed.gexf,gexf_html/cached_INCT_HUMANAS_T2_fixed.html,gexf_html/cached_INCT_5_T2_fixed.html
5,INCT Centro de Química Medicinal de Acesso Aberto,Paulo Arruda,6,gexf_fixed/INCT_6_T2_fixed.gexf,"O INCT INCT Centro de Química Medicinal de Acesso Aberto Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Centro_de_Química,9,1,8,0,Ciências Biológicas,BIOLOGICAS,gexf_fixed/INCT_BIOLOGICAS_T2_fixed.gexf,gexf_html/cached_INCT_BIOLOGICAS_T2_fixed.html,gexf_html/cached_INCT_6_T2_fixed.html
6,INCT Ciências Forenses,Roberto Esser dos Reis,7,gexf_fixed/INCT_7_T2_fixed.gexf,"O INCT INCT Ciências Forenses Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",Ciências_Forenses,55,15,39,1,Ecologia e Meio Ambiente,ECOLOGIA,gexf_fixed/INCT_ECOLOGIA_T2_fixed.gexf,gexf_html/cached_INCT_ECOLOGIA_T2_fixed.html,gexf_html/cached_INCT_7_T2_fixed.html
7,INCT da Criosfera,Jefferson Cardia Simões,8,gexf_fixed/INCT_8_T2_fixed.gexf,"O INCT INCT da Criosfera Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",da_Criosfera,469,193,271,5,Ecologia e Meio Ambiente,ECOLOGIA,gexf_fixed/INCT_ECOLOGIA_T2_fixed.gexf,gexf_html/cached_INCT_ECOLOGIA_T2_fixed.html,gexf_html/cached_INCT_8_T2_fixed.html
8,INCT da Internet do Futuro,Fabio Kon,9,gexf_fixed/INCT_9_T2_fixed.gexf,"O INCT INCT da Internet do Futuro Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",da_Internet_do,54,4,50,0,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_9_T2_fixed.html
9,"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil",Anne Marie Pessis,10,gexf_fixed/INCT_10_T2_fixed.gexf,"O INCT INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Arqueologia_Paleontologia,31,16,14,1,"Ciências Humanas, Sociais Aplicadas e Educação",HUMANAS,gexf_fixed/INCT_HUMANAS_T2_fixed.gexf,gexf_html/cached_INCT_HUMANAS_T2_fixed.html,gexf_html/cached_INCT_10_T2_fixed.html
10,INCT de Bioinspiração - Moléculas bioinspiradas aplicadas ao incremento e qualidade da produção de proteína animal (INCT-Bioinspir) ,Octavio Luiz Franco,11,gexf_fixed/INCT_11_T2_fixed.gexf,"O INCT INCT de Bioinspiração - Moléculas bioinspiradas aplicadas ao incremento e qualidade da produção de proteína animal (INCT-Bioinspir)  Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Bioinspiração_Moléculas,75,37,37,1,Ciências Biológicas,BIOLOGICAS,gexf_fixed/INCT_BIOLOGICAS_T2_fixed.gexf,gexf_html/cached_INCT_BIOLOGICAS_T2_fixed.html,gexf_html/cached_INCT_11_T2_fixed.html
11,INCT de Biologia Estrutural e Bioimagem,Jerson Lima da Silva,12,gexf_fixed/INCT_12_T2_fixed.gexf,"O INCT INCT de Biologia Estrutural e Bioimagem Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Biologia_Estrutural,415,258,153,4,Ciências Biológicas,BIOLOGICAS,gexf_fixed/INCT_BIOLOGICAS_T2_fixed.gexf,gexf_html/cached_INCT_BIOLOGICAS_T2_fixed.html,gexf_html/cached_INCT_12_T2_fixed.html
12,INCT de Biomarcadores em Neuropsiquiatria (INCT-INBioN),Wagner Farid Gattaz,13,gexf_fixed/INCT_13_T2_fixed.gexf,"O INCT INCT de Biomarcadores em Neuropsiquiatria (INCT-INBioN) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Biomarcadores_em,14,2,12,0,Saúde,SAUDE,gexf_fixed/INCT_SAUDE_T2_fixed.gexf,gexf_html/cached_INCT_SAUDE_T2_fixed.html,gexf_html/cached_INCT_13_T2_fixed.html
13,INCT de Ciência Animal,Sebastiao de Campos Valadares Filho,14,gexf_fixed/INCT_14_T2_fixed.gexf,"O INCT INCT de Ciência Animal Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Ciência_Animal,84,26,58,0,Ciências Agrárias e Agronegócios,AGRARIAS,gexf_fixed/INCT_AGRARIAS_T2_fixed.gexf,gexf_html/cached_INCT_AGRARIAS_T2_fixed.html,gexf_html/cached_INCT_14_T2_fixed.html
14,INCT de Doenças Tropicais,Edgar Marcelino de Carvalho Filho,15,gexf_fixed/INCT_15_T2_fixed.gexf,"O INCT INCT de Doenças Tropicais Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Doenças_Tropicais,21,8,13,0,Saúde,SAUDE,gexf_fixed/INCT_SAUDE_T2_fixed.gexf,gexf_html/cached_INCT_SAUDE_T2_fixed.html,gexf_html/cached_INCT_15_T2_fixed.html
15,INCT de Energia e Ambiente,Jailson Bittencourt de Andrade,16,gexf_fixed/INCT_16_T2_fixed.gexf,"O INCT INCT de Energia e Ambiente Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Energia_e,94,39,55,0,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_16_T2_fixed.html
16,INCT de Energias Oceânicas e Fluviais (INCT-INEOF),Osvaldo Ronald Saavedra Mendez,17,gexf_fixed/INCT_17_T2_fixed.gexf,"O INCT INCT de Energias Oceânicas e Fluviais (INCT-INEOF) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Energias_Oceânicas,43,4,39,0,"Engenharias, Energias e Tecnologias da Informação",ENGENHARIAS,gexf_fixed/INCT_ENGENHARIAS_T2_fixed.gexf,gexf_html/cached_INCT_ENGENHARIAS_T2_fixed.html,gexf_html/cached_INCT_17_T2_fixed.html
17,INCT de Engenharia de Superfícies,Fernando Lázaro Freire Junior,18,gexf_fixed/INCT_18_T2_fixed.gexf,"O INCT INCT de Engenharia de Superfícies Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Engenharia_de,48,10,38,0,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_18_T2_fixed.html
18,INCT de Entomologia Molecular,Pedro Lagerblad de Oliveira,19,gexf_fixed/INCT_19_T2_fixed.gexf,"O INCT INCT de Entomologia Molecular Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Entomologia_Molecular,302,156,145,1,Ciências Biológicas,BIOLOGICAS,gexf_fixed/INCT_BIOLOGICAS_T2_fixed.gexf,gexf_html/cached_INCT_BIOLOGICAS_T2_fixed.html,gexf_html/cached_INCT_19_T2_fixed.html
19,INCT de Epidemiologia da Amazônia Ocidental,Henrique Krieger,20,gexf_fixed/INCT_20_T2_fixed.gexf,"O INCT INCT de Epidemiologia da Amazônia Ocidental Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Epidemiologia_da,147,72,70,5,Saúde,SAUDE,gexf_fixed/INCT_SAUDE_T2_fixed.gexf,gexf_html/cached_INCT_SAUDE_T2_fixed.html,gexf_html/cached_INCT_20_T2_fixed.html
20,INCT de Estudos Comparados em Administração Institucional de Conflitos,Roberto Kant de Lima,21,gexf_fixed/INCT_21_T2_fixed.gexf,"O INCT INCT de Estudos Comparados em Administração Institucional de Conflitos Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Estudos_Comparados,533,303,228,2,"Ciências Humanas, Sociais Aplicadas e Educação",HUMANAS,gexf_fixed/INCT_HUMANAS_T2_fixed.gexf,gexf_html/cached_INCT_HUMANAS_T2_fixed.html,gexf_html/cached_INCT_21_T2_fixed.html
21,INCT de Fluidos Complexos,Antonio Martins Figueiredo Neto,22,gexf_fixed/INCT_22_T2_fixed.gexf,"O INCT INCT de Fluidos Complexos Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Fluidos_Complexos,80,27,52,1,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_22_T2_fixed.html
22,INCT de Fotônica (INCT-INFO),Anderson Stevens Leonidas Gomes,23,gexf_fixed/INCT_23_T2_fixed.gexf,"O INCT INCT de Fotônica (INCT-INFO) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Fotônica,310,130,173,7,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_23_T2_fixed.html
23,INCT de Frutos Tropicais,Narendra Narain,24,gexf_fixed/INCT_24_T2_fixed.gexf,"O INCT INCT de Frutos Tropicais Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Frutos_Tropicais,36,18,16,2,Ciências Agrárias e Agronegócios,AGRARIAS,gexf_fixed/INCT_AGRARIAS_T2_fixed.gexf,gexf_html/cached_INCT_AGRARIAS_T2_fixed.html,gexf_html/cached_INCT_24_T2_fixed.html
24,INCT de Genética Médica Populacional (INCT-INAGEMP),Roberto Giugliani,25,gexf_fixed/INCT_25_T2_fixed.gexf,"O INCT INCT de Genética Médica Populacional (INCT-INAGEMP) Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Genética_Médica,213,152,59,2,Ciências Biológicas,BIOLOGICAS,gexf_fixed/INCT_BIOLOGICAS_T2_fixed.gexf,gexf_html/cached_INCT_BIOLOGICAS_T2_fixed.html,gexf_html/cached_INCT_25_T2_fixed.html
25,INCT de Genômica Comparativa e Funcional e Melhoramento Assistido de Citros.,Marcos Antonio Machado,26,gexf_fixed/INCT_26_T2_fixed.gexf,"O INCT INCT de Genômica Comparativa e Funcional e Melhoramento Assistido de Citros. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Genômica_Comparativa,138,60,72,6,Ciências Agrárias e Agronegócios,AGRARIAS,gexf_fixed/INCT_AGRARIAS_T2_fixed.gexf,gexf_html/cached_INCT_AGRARIAS_T2_fixed.html,gexf_html/cached_INCT_26_T2_fixed.html
26,INCT de Geofísica do Petróleo,Milton José Porsani,27,gexf_fixed/INCT_27_T2_fixed.gexf,"O INCT INCT de Geofísica do Petróleo Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",de_Geofísica_do,100,20,79,1,Ciências Exatas e da Terra,EXATAS,gexf_fixed/INCT_EXATAS_T2_fixed.gexf,gexf_html/cached_INCT_EXATAS_T2_fixed.html,gexf_html/cached_INCT_27_T2_fixed.html
