,inct_folder,nome_instituicao_empresa,uf,n_pesquisadores,nome_inct,area
0,AS_METRÓPOLES_E,Instituto de Pesquisa e Planejamento Urbano e Regional da UFRJ,RJ,1,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
1,AS_METRÓPOLES_E,NA,NA,1,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
2,AS_METRÓPOLES_E,Universidade Federal de Campina Grande,PB,1,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
3,AS_METRÓPOLES_E,Universidade Federal do Ceará,CE,1,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
4,AS_METRÓPOLES_E,Universidade Federal do Rio Grande do Norte,RN,1,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
5,AS_METRÓPOLES_E,Universidade Federal do Rio Grande do Sul,RS,1,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
6,AS_METRÓPOLES_E,Universidade Federal do Rio de Janeiro,RJ,4,"INCT AS METRÓPOLES E O DIREITO À CIDADE: conhecimento, inovação e ação para o desenvolvimento urbano - Programa de Pesquisa da Rede Observatório das Metrópoles 2015-2020","Ciências Humanas, Sociais Aplicadas e Educação"
7,Alternativas_para_Detecção,Centro Universitário Salesiano São Paulo,SP,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
8,Alternativas_para_Detecção,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto",SP,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
9,Alternativas_para_Detecção,Fundação Oswaldo Cruz,RJ,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
10,Alternativas_para_Detecção,INSTITUTO FEDERAL DO PARANA,PR,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
11,Alternativas_para_Detecção,Instituto Federal do Maranhão,RS,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
12,Alternativas_para_Detecção,Instituto de Pesquisas Energéticas e Nucleares,SP,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
13,Alternativas_para_Detecção,Instituto de Química - Universidade Estadual Paulista,SP,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
14,Alternativas_para_Detecção,Instituto de Química de São Carlos,SP,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
15,Alternativas_para_Detecção,Instituto de Saúde e Biotecnologia da Universidade Federal do Amazonas,AM,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
16,Alternativas_para_Detecção,NA,NA,47,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
17,Alternativas_para_Detecção,Universidade Estadual Paulista &quot;Julio de Mesquita Filho&quot;,SP,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
18,Alternativas_para_Detecção,Universidade Estadual Paulista Júlio de Mesquita Filho,SP,37,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
19,Alternativas_para_Detecção,Universidade Estadual de Campinas,SP,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
20,Alternativas_para_Detecção,Universidade Estadual de Londrina,PR,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
21,Alternativas_para_Detecção,Universidade Estadual de Maringá,PR,3,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
22,Alternativas_para_Detecção,Universidade Federal Fluminense,RJ,3,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
23,Alternativas_para_Detecção,Universidade Federal da Grande Dourados,MS,2,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
24,Alternativas_para_Detecção,Universidade Federal da Integração Latino-Americana,PR,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
25,Alternativas_para_Detecção,Universidade Federal de Goiás,GO,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
26,Alternativas_para_Detecção,Universidade Federal de Mato Grosso,MT,4,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
27,Alternativas_para_Detecção,Universidade Federal de Pernambuco,PE,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
28,Alternativas_para_Detecção,Universidade Federal de Sergipe,SE,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
29,Alternativas_para_Detecção,Universidade Federal de São Carlos,SP,2,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
30,Alternativas_para_Detecção,Universidade Federal de São João Del-Rei,MG,1,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
31,Alternativas_para_Detecção,Universidade Federal de São Paulo,SP,6,"INCT Alternativas para Detecção, Avaliação Toxicológica e Remoção de Micropoluentes e Radioativos (INCT-DATREM)",Ciências Exatas e da Terra
